2o. Agrupamento;3o. Agrupamento;Recurso;Descrição;Matéria Prima;Compr;Largu;Quant;Etapa Seguinte;carreta
GMS Mont Conj Carr;60 Conjuntos ACESSORIOS;23310;VARÃO DA TRAVA - CBH/CBHM 6T 1 EIXO;023358 - TUBO DO TIRANTE DA TRAVA   CBHM 2 EIXOS;;;2;S Usinagem;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;60 Conjuntos ACESSORIOS;23528;REGULADOR VARÃO DE TRAVA    CBHM 2 EIXOS;023504 - CHAPA DE REGULAGEM VARÃO DE TRAVA   CBHM 2 EIXOS;;;2;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;60 Conjuntos ACESSORIOS;30791;CONJ ALAV DE COMANDO - FREIO - CBHM M17;030694 - ALAVANCA DE FREIO - CHASSI SC CBH/CBHM 4T M17;;;1;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;60 Conjuntos ACESSORIOS;443785;PINO ENG C/ARRUELA ICAM (M98) FA;"212300 - ARRUELA LISA 27MM POL. CHAPA 3/16""";;;1;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;60 Conjuntos ACESSORIOS;402795;CINTA LONADA EIXO TRAS    F4CC;282005 - REBITE DE ALUMINIO 4X5;;;2;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;60 Conjuntos ACESSORIOS;447006;PORTA CABO - FREIO U4/6 P2/4 A3,5;427020 - CORPO PORTA CABO-FREIO    U4;;;1;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Cx Acessórios;70 Sistemas Carretas;30769;ACESSÓRIOS SC [CBH7 M17];234205 - GRAXEIRO 1/4 UNF       RETO;;;1;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Mont Sist Carr;70 Sistemas Carretas;032381LC;CAÇAMBA COMPLETA UG LARANJA [CBH7 M21];023590 - TRAVA TAMPA TRAS CBH(M12) /  CBHM (31 AGO 2012.../T7113-08/12...);;;1;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Mont Sist Carr;70 Sistemas Carretas;033088CO;KIT MONTAGEM MACACO COMPLETO [CBH/CBHM M17];030389CO - BASE MÓVEL DO MACACO CINZA [CBHM M17];;;1;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Mont Sist Carr;70 Sistemas Carretas;493650;EIXO COMPLETO SC [CBHM6000];"212301 - ARR. DE PRES. MÉDIA - ZB 1/2""";;;1;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;70 Sistemas Carretas;30679;CHASSI DA CACAMBA M17 CBH6,0 1EIXO AB. LATERAL;425795 - APOIO BUCHA GUIA    CBHM;;;1;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Pintura- Embalar Prod;70 Sistemas Carretas;030383CO;MACACO COMPLETO CINZA [CBHM M17];030383 - MACACO COMPLETO [CBHM M17];;;1;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Pintura- Embalar Prod;70 Sistemas Carretas;030730CO;CHASSI COMPLETO SC CINZA [CBH7/CBHM6000 M17];443359 - PINO TRAVA RÉ [CBH/CBHM/F/FA/FTC];;;1;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Pintura- Embalar Prod;70 Sistemas Carretas;493650CO;EIXO COMPLETO SC CINZA [CBH7/CBHM6000];493650 - EIXO COMPLETO SC [CBHM6000];;;1;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Expedição;Carretas Basculantes hidráulicas;CBH7 UG SC RD M21;Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos;030730CO - CHASSI COMPLETO SC CINZA [CBH7/CBHM6000 M17];;;1;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Mont Sist Carr;Conjuntos Carretas;30383;MACACO COMPLETO [CBHM M17];030789 - CORRENTE 180MM - MACACO M17;;;1;S Pintura;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;Conjuntos Carretas;30731;CHASSI SIMPLES SC [CBHM6000/CBH7 M17];023516 - ENGATE VARÃO DE TRAVA    CBHM 2 EIXOS;;;1;S Pintura;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;Conjuntos Carretas;32390;CAÇAMBA SIMPLES UG [CBH7 M21];023590 - TRAVA TAMPA TRAS CBH(M12) /  CBHM (31 AGO 2012.../T7113-08/12...);;;1;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;Conjuntos Carretas;25657;EIXO SIMPLES SC [CBHM6000];025547 - CORPO DO EIXO CBH/CBHM5000...10000 (NOV13...);;;1;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;Conjuntos Carretas;31548;CONJUNTO SUPORTE FRONTAL SC [CBH/CBHM M17];030327 - TUBO FIXO MACACO M17 CHASSI CBHM/CBH;;;1;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;Conjuntos Carretas;30389;BASE MÓVEL DO MACACO [CBHM M17];030387 - BASE MÓVEL M17 BASE MÓVEL CBHM/CBH;;;2;S Pintura;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;Conjuntos Carretas;30753;TUBO HIDRÁULICO [CBH6/CBH7/CBHM6000];030749 - CORPO TUBO HIDRÁULICO 6T - ACESS   CBHM M17;;;2;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;Conjuntos Carretas;32366;TAMPA TRASEIRA UG [CBH M21];032367 - CHAPEAMENTO [TAMPA TRASEIRA - CBH UG M21];;;1;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;Conjuntos Carretas;34828;CAMISA DO CILINDRO [CBH7/CBHM6000];034545 - TUBO [CAMISA DO CILINDRO - CBH5/CBHM5000];;;2;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;Conjuntos Carretas;34899;PISTÃO DO CILINDRO [CBHM5000/6000];034879 - EIXO PISTÃO [CBHM5000/6000];;;2;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;Conjuntos Carretas;34830;CILINDRO HIDRÁULICO [CBH7/CBHM6000];210158 - ANEL O-RING 2-342;;;2;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;Conjuntos Carretas;32363;FUEIRO USO GERAL LD [CBH M21];"274203 - PORCA SEX     3/4""   UNC  ZB";;;1;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;Conjuntos Carretas;32364;FUEIRO USO GERAL LE [CBH M21];"274203 - PORCA SEX     3/4""   UNC  ZB";;;1;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;Conjuntos Carretas;425035;VARAO FRENAGEM      5000  CBHM;412818 - ARRUELA CONICA EIXO - ROD P4T;;;2;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;Conjuntos Carretas;25589;CONJ SUPORTE FREIO - CARRETAS (NOV13...);412818 - ARRUELA CONICA EIXO - ROD P4T;;;2;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;Conjuntos Carretas;466712;ENGATE COM FREIO [CBH/CBHM];414426 - PORTA TRAVA RE  FA3,5FBS;;;1;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;Conjuntos Carretas;466803;VARAO ACIONADOR  FREIO  (5000)  CBHM;466815 - CORPO VARAO ACION FREIO (5000) - CBH;;;1;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;Conjuntos Carretas;23590;TRAVA TAMPA TRAS CBH(M12) /  CBHM (31 AGO 2012.../T7113-08/12...);490313 - REFORÇO TRAVA T TRAS -  ACESS  CBHM;;;2;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Pintura- Embalar Prod;Conjuntos Carretas;030389CO;BASE MÓVEL DO MACACO CINZA [CBHM M17];030389 - BASE MÓVEL DO MACACO [CBHM M17];;;2;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Pintura- Embalar Prod;Conjuntos Carretas;032363LC;FUEIRO USO GERAL LD LARANJA [CBH M21];032363 - FUEIRO USO GERAL LD [CBH M21];;;1;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Pintura- Embalar Prod;Conjuntos Carretas;032364LC;FUEIRO USO GERAL LE LARANJA [CBH M21];032364 - FUEIRO USO GERAL LE [CBH M21];;;1;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Pintura- Embalar Prod;Conjuntos Carretas;032366LC;TAMPA TRASEIRA UG LARANJA [CBH M21];032366 - TAMPA TRASEIRA UG [CBH M21];;;1;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Pintura- Embalar Prod;Conjuntos Carretas;032390LC;CAÇAMBA SIMPLES UG LARANJA [CBH7 M21];032390 - CAÇAMBA SIMPLES UG [CBH7 M21];;;1;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Pintura- Embalar Prod;Conjuntos Carretas;034830CO;CILINDRO HIDRÁULICO CINZA [CBH7/CBHM6000];034830 - CILINDRO HIDRÁULICO [CBH7/CBHM6000];;;2;S Mont Conjuntos Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS C.Serras;Peças Para Carretas;34946;BUCHA DO PISTÃO [PISTÃO DO CILINDRO - CBH/CBHM];110012 - ACO LAMINADO RED 2.1/2    1045;60,00;;2;S Usinagem;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS C.Serras;Peças Para Carretas;34881;CABEÇA DO PISTÃO [CBHM5000/6000];110139 - ACO LAMINADO RED 4          1045;45,00;;2;S Usinagem;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS C.Serras;Peças Para Carretas;468897;FECHAM CILINDRO           CBHM;110735 - ACO LAMINADO RED 4.1/2    1020;18,00;;2;S Estamparia;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS C.Serras;Peças Para Carretas;496923;TUBO DA CAMISA DO CILINDRO [CILINDRO HIDRAULICO - CBH/CBHM];"134387 - TUBO SCHEDULLE 40 - 3/8"" S/C  5 METROS";300,00;17,20;2;S Estamparia;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS C.Serras;Peças Para Carretas;34945;TUBO DA CONEXÃO MENOR [CAMISA DO CILINDRO - CBH/CBHM];"134387 - TUBO SCHEDULLE 40 - 3/8"" S/C  5 METROS";35,00;;2;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS C.Plasma;Peças Para Carretas;496935;ORELHA DO CILINDRO [CAMISA DO CILINDRO - CBH/CBHM];"120376 - CHAPA GQ 1"" (25,4) 1010/1020";90,00;87,00;2;S Usinagem;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Estamparia;Peças Para Carretas;468897;FECHAM CILINDRO           CBHM;;;;2;S Usinagem;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Estamparia;Peças Para Carretas;497101;CINTA FREIO - EIXO TRAS   F4CC;120900 - CHAPA FF #20   (0,91)     1010;765,00;50,00;2;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Estamparia;Peças Para Carretas;496923;TUBO DA CAMISA DO CILINDRO [CILINDRO HIDRAULICO - CBH/CBHM];"134387 - TUBO SCHEDULLE 40 - 3/8"" S/C  5 METROS";300,00;17,20;2;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Usinagem;Peças Para Carretas;468897;FECHAM CILINDRO           CBHM;;;;2;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Usinagem;Peças Para Carretas;34946;BUCHA DO PISTÃO [PISTÃO DO CILINDRO - CBH/CBHM];110012 - ACO LAMINADO RED 2.1/2    1045;60,00;;2;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Usinagem;Peças Para Carretas;34881;CABEÇA DO PISTÃO [CBHM5000/6000];110139 - ACO LAMINADO RED 4          1045;45,00;;2;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Usinagem;Peças Para Carretas;496935;ORELHA DO CILINDRO [CAMISA DO CILINDRO - CBH/CBHM];"120376 - CHAPA GQ 1"" (25,4) 1010/1020";90,00;87,00;2;S Forjaria;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Usinagem;Peças Para Carretas;34545;TUBO [CAMISA DO CILINDRO - CBH5/CBHM5000];222433 - TUBO TCH 114,30 X 101,60 X 06 ST52 IMP BRUN 482MM;;;2;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Usinagem;Peças Para Carretas;34879;EIXO PISTÃO [CBHM5000/6000];"222434 - AÇO MT 2"" CROMADO SAE 1045 NORMAL (050.80 MM) 517MM";;;2;S C Serras;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS C.Guilhotinas;Peças Para Carretas;497101;CINTA FREIO - EIXO TRAS   F4CC;120900 - CHAPA FF #20   (0,91)     1010;765,00;50,00;2;S Estamparia;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS C.Guilhotinas;Peças Para Carretas;497113;LONA FREIO - EIXO TRAS    F4CC;"299534 - LONA DE FREIO MOLDADA 1/4X2""";500,00;50,80;2;Sem Processo;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Prensas;Peças para Carretas ACESSORIOS;457012;TENSOR CABOS - FREIO      CAR;"112458 - ACO TREF. RED. SAE-1020 - 3/8""";136,00;9,50;1;S Usinagem;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS C.Serras;Peças para Carretas ACESSORIOS;32233;PINO DE ARTICULAÇÃO [CBH/CBHM-1E];110358 - ACO LAMINADO RED 2        1045;115,00;;2;S Usinagem;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS C.Serras;Peças para Carretas ACESSORIOS;443360;PINO ALAV/COMANDO - FREIO CAR;"112203 - ACO TREF. RED. SAE-1020 - 1/2""";43,00;12,70;1;S Usinagem;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS C.Serras;Peças para Carretas ACESSORIOS;496996;PINO MAIOR CILINDRO - ACESS CBH;"112306 - ACO TREF. RED. SAE-1045 - 1.1/4""";130,00;31,70;2;S Usinagem;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS C.Serras;Peças para Carretas ACESSORIOS;490430;PINO MENOR CILINDRO - ACESS   CBHM;"112306 - ACO TREF. RED. SAE-1045 - 1.1/4""";102,00;31,70;2;S Usinagem;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS C.Serras;Peças para Carretas ACESSORIOS;28844;PINO DA TAMPA TRASEIRA [CBH];"112525 - ACO TREF. RED. SAE-1020 - 5/8""";77,00;;2;S Usinagem;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS C.Plasma;Peças para Carretas ACESSORIOS;30694;ALAVANCA DE FREIO - CHASSI SC CBH/CBHM 4T M17;120650 - CHAPA GQ   5/16(7,94)     1010;250,00;32,00;1;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Estamparia;Peças para Carretas ACESSORIOS;457012;TENSOR CABOS - FREIO      CAR;"112458 - ACO TREF. RED. SAE-1020 - 3/8""";136,00;9,50;1;Sem Processo;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Cx Acessórios;Peças para Carretas ACESSORIOS;492486;"CABO ACO 3/16""X4,1M-FREIO P2";"299108 - CABO DE ACO 3/16"" GALV. 6X7 + AF.";4100,00;4,76;1;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Usinagem;Peças para Carretas ACESSORIOS;490430;PINO MENOR CILINDRO - ACESS   CBHM;;;;2;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Usinagem;Peças para Carretas ACESSORIOS;28844;PINO DA TAMPA TRASEIRA [CBH];;;;2;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Usinagem;Peças para Carretas ACESSORIOS;32233;PINO DE ARTICULAÇÃO [CBH/CBHM-1E];110358 - ACO LAMINADO RED 2        1045;115,00;;2;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Usinagem;Peças para Carretas ACESSORIOS;496996;PINO MAIOR CILINDRO - ACESS CBH;"112306 - ACO TREF. RED. SAE-1045 - 1.1/4""";130,00;31,70;2;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Usinagem;Peças para Carretas ACESSORIOS;457012;TENSOR CABOS - FREIO      CAR;"112458 - ACO TREF. RED. SAE-1020 - 3/8""";136,00;9,50;1;S Estamparia;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Usinagem;Peças para Carretas ACESSORIOS;443360;PINO ALAV/COMANDO - FREIO CAR;Serv PJ Benef Galvaniz - Serviço c/NF de Beneficiamento de Galvanização;;;1;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS C.Serras;Peças para Carretas CHASSIS;464855;LUVA ENGATE    - CHASSI    CBH;"126755 - AÇO CHATO LAM 1"" X 3"" SAE-1020";427,00;76,20;1;S Forjaria;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS C.Serras;Peças para Carretas CHASSIS;429478;TRANSV TRAS-CHASSI (6000) CBHM;134055NAC - TUBO QUADRADO 120 X 120 X 8.00;;;1;S Estamparia;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS C.Serras;Peças para Carretas CHASSIS;464880;BUCHA EMBOLO - CHASSI CBHM/ICAM FA;"134144 - TUBO SCHEDULLE 80 - 2"" C/C";103,00;60,30;1;Sem Processo;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS C.Plasma;Peças para Carretas CHASSIS;30425;LONGARINA - CHASSI SIMPLES SS - CBH 6,0T 01 EIXO;120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010;3271,00;314,00;2;S Estamparia;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS C.Plasma;Peças para Carretas CHASSIS;30589;PROTEÇÃO DO MACACO- CHASSI  CBH/CBHM M17;120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010;181,00;50,00;1;S Estamparia;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS C.Plasma;Peças para Carretas CHASSIS;406650;SUPORTE DO TUBO  CBHM;120273 - CHAPA FQ  3,75mm. SAE-1006;110,00;40,00;1;S Estamparia;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS C.Plasma;Peças para Carretas CHASSIS;469490;SUPORTE DA MANGUEIRA    6000  CBHM;120273 - CHAPA FQ  3,75mm. SAE-1006;55,00;40,00;1;Sem Processo;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS C.Plasma;Peças para Carretas CHASSIS;465422;FECHAM TRAS LONG   CHASSI  CBHM;120278 - BOBINA CHAPA LQ 3.75 X 1,20 A36/CIVIL300;;;2;S Estamparia;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
