2o. Agrupamento;3o. Agrupamento;Recurso;Descrição;Matéria Prima;Compr;Largu;Quant;Etapa Seguinte;carreta
GMS Pintura- Embalar Prod;70 Sistemas Carretas;030378LC;TAMPA LATERAL SUPERIOR LARANJA [CBH5/CBH6R M17];030378 - TAMPA LATERAL SUPERIOR [CBH5/CBH6R M17];;;2;S Mont Sistemas Carretas;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Pintura- Embalar Prod;70 Sistemas Carretas;030383CO;MACACO COMPLETO CINZA [CBHM M17];030383 - MACACO COMPLETO [CBHM M17];;;1;S Mont Sistemas Carretas;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Pintura- Embalar Prod;70 Sistemas Carretas;031228LC;TAMPA TRASEIRA FO LARANJA [CBH M18];031228 - TAMPA TRASEIRA FO [CBH M18];;;1;S Mont Sistemas Carretas;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Pintura- Embalar Prod;70 Sistemas Carretas;031230LC;FECHAMENTO DIANTEIRO SUPERIOR LARANJA [CBH M19];031230 - FECHAMENTO DIANTEIRO SUPERIOR [CBH M19];;;1;S Mont Sistemas Carretas;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Pintura- Embalar Prod;70 Sistemas Carretas;031401LC;"TAMPA LATERAL INFERIOR LE ""ABERTURA LATERAL"" [CBH5,0 M21 LARANJA]";031401 - TAMPA LATERAL INFERIOR LE [CBH5/CBH6R M17];;;1;S Mont Sistemas Carretas;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Pintura- Embalar Prod;70 Sistemas Carretas;031422LC;"TAMPA LATERAL INFERIOR LD ""ABERTURA LATERAL"" [CBH5,0 M21 LARANJA]";031422 - TAMPA LATERAL INFERIOR LD [CBH5/CBH6R M17];;;1;S Mont Sistemas Carretas;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Pintura- Embalar Prod;70 Sistemas Carretas;034550CO;CILINDRO HIDRÁULICO CINZA [CBH5/CBHM5000];034550 - CILINDRO HIDRÁULICO [CBH5/CBHM5000];;;1;S Mont Conjuntos Carretas;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Pintura- Embalar Prod;70 Sistemas Carretas;460825;FEIXE DE MOLAS 14 LAMINAS [CBHM/FA/F6];318417 - TINTA PÓ 26 R LI CINZA FUMAÇA EMA 022 167;;;2;S Mont Sistemas Carretas;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Pintura- Embalar Prod;70 Sistemas Carretas;460722CO;EIXO COMPLETO CS CINZA [CBHM5000];460722 - EIXO COMPLETO CS [CBHM5000];;;1;S Mont Sistemas Carretas;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Expedição;Carretas Basculantes hidráulicas;CBH5 FO CS RD M21;Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos;030638 - CHASSI COMPLETO CS [CBHM 5000 M17];;;1;S Mont Sistemas Carretas;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Mont Sist Carr;Conjuntos Carretas;30383;MACACO COMPLETO [CBHM M17];030789 - CORRENTE 180MM - MACACO M17;;;1;S Pintura;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;Conjuntos Carretas;25553;EIXO SIMPLES CS [CBHM5000];025547 - CORPO DO EIXO CBH/CBHM5000...10000 (NOV13...);;;1;S Mont Sistemas Carretas;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;Conjuntos Carretas;32361;CAÇAMBA SIMPLES FO [CBH5 M21];028811 - MONT FECHO RÁPIDO INFERIOR  CBH/CBHM;;;1;S Mont Sistemas Carretas;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;Conjuntos Carretas;29966;CONJUNTO APOIO DA TAMPA - CAÇAMBA CBH 6,0 C/ ABERTURA LATERAL;029965 - REFORÇO APOIO DA TAMPA - CAÇAMBA CBH 6,0 C/ ABERTURA LATERAL;;;1;S Mont Sistemas Carretas;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;Conjuntos Carretas;30637;CHASSI SIMPLES CS [CBHM 5000 M17];030316 - REFORÇO DO SUPORTE DIANT M17 CHASSI CBHM/CBH;;;1;S Pintura;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;Conjuntos Carretas;32470;CHASSI DA CAÇAMBA [CBH5,0 M21];030334 - LONGARINA DA PLATAFORMA M17    CBHM;;;1;S Mont Sistemas Carretas;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;Conjuntos Carretas;30389;BASE MÓVEL DO MACACO [CBHM M17];030387 - BASE MÓVEL M17 BASE MÓVEL CBHM/CBH;;;2;S Pintura;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;Conjuntos Carretas;30671;TUBO HIDRÁULICO [CBHM5000 M17];030653 - CORPO TUBO HIDRÁULICO - ACESS   CBHM M17;;;2;S Mont Sistemas Carretas;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;Conjuntos Carretas;31401;TAMPA LATERAL INFERIOR LE [CBH5/CBH6R M17];030751 - CORPO DA TAMPA LATERAL M17 - TAMPA LATERAL (M17) CBH 4;;;1;S Pintura;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;Conjuntos Carretas;31218;FUEIRO SUPORTE DIANTEIRO SUPERIOR CBH M18;031237 - CHAPEAMENTO DO FUEIRO M18 - FUEIRO DIANTEIRO SUPERIOR - CBH (M18);;;2;S Mont Sistemas Carretas;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;Conjuntos Carretas;31289;FUEIRO FO LD  [CBH M18];031287 - CORPO FUEIRO TRAS. (ABERT. LATERAL) - CBH M18;;;1;S Pintura;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;Conjuntos Carretas;31290;FUEIRO FO LE [CBH M18];031287 - CORPO FUEIRO TRAS. (ABERT. LATERAL) - CBH M18;;;1;S Pintura;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;Conjuntos Carretas;31511;CONJUNTO SUPORTE FRONTAL [CHASSI - CBH/CBHM M17];032352 - SUPORTE FRONTAL [CHASSI COMPLETO - CBH];;;1;S Mont Sistemas Carretas;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;Conjuntos Carretas;33738;ENGATE SIMPLES SS [CBH/CBHM];032432 - EMBOLO COM ROSCA - CHASSI CBHM/ICAM;;;1;S Mont Sistemas Carretas;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;Conjuntos Carretas;34547;CAMISA DO CILINDRO [CBH5/CBHM5000];034545 - TUBO [CAMISA DO CILINDRO - CBH5/CBHM5000];;;1;S Mont Sistemas Carretas;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;Conjuntos Carretas;34899;PISTÃO DO CILINDRO [CBHM5000/6000];034879 - EIXO PISTÃO [CBHM5000/6000];;;1;S Mont Sistemas Carretas;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;Conjuntos Carretas;34550;CILINDRO HIDRÁULICO [CBH5/CBHM5000];210160 - ANEL RASPADOR     REF D-2000;;;1;S Mont Sistemas Carretas;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;Conjuntos Carretas;23826;TIRANTE DA TRAVA COMPLETO [CBH/CBHM-1E];"212092 - ARRUELA LISA 1/2"" CHAPA 1/8"" ZB OU ZA";;;2;S Mont Sistemas Carretas;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;Conjuntos Carretas;23590;TRAVA TAMPA TRAS CBH(M12) /  CBHM (31 AGO 2012.../T7113-08/12...);490313 - REFORÇO TRAVA T TRAS -  ACESS  CBHM;;;2;S Mont Sistemas Carretas;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Pintura- Embalar Prod;Conjuntos Carretas;030389CO;BASE MÓVEL DO MACACO CINZA [CBHM M17];030389 - BASE MÓVEL DO MACACO [CBHM M17];;;2;S Mont Sistemas Carretas;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Pintura- Embalar Prod;Conjuntos Carretas;030637CO;CHASSI SIMPLES CS [CBHM 5000 M17];030637 - CHASSI SIMPLES CS [CBHM 5000 M17];;;1;S Mont Sistemas Carretas;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Pintura- Embalar Prod;Conjuntos Carretas;031289LC;FUEIRO FO LD LARANJA [CBH M18];031289 - FUEIRO FO LD  [CBH M18];;;1;S Mont Sistemas Carretas;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Pintura- Embalar Prod;Conjuntos Carretas;031290LC;FUEIRO FO LE LARANJA [CBH M18];031290 - FUEIRO FO LE [CBH M18];;;1;S Mont Sistemas Carretas;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Pintura- Embalar Prod;Conjuntos Carretas;032361LC;"CAÇAMBA SIMPLES ""ABERTURA LATERAL"" [CBH5,0 M21 LARANJA]";032361 - CAÇAMBA SIMPLES FO [CBH5 M21];;;1;S Mont Sistemas Carretas;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Pintura- Embalar Prod;Conjuntos Carretas;033738CO;ENGATE SIMPLES SS CINZA [CBH/CBHM];033738 - ENGATE SIMPLES SS [CBH/CBHM];;;1;S Mont Sistemas Carretas;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Prensas;Peças Para Carretas;460953;PARAF CENTRO  FM 14 LAM   CBH/FA;"112458 - ACO TREF. RED. SAE-1020 - 3/8""";148,00;9,50;2;S Forjaria;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Prensas;Peças Para Carretas;494343;"REBITE 3/8""X3/4""F/MOLA    CAR";"112458 - ACO TREF. RED. SAE-1020 - 3/8""";35,00;9,52;4;S Forjaria;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Prensas;Peças Para Carretas;440449;LAMINA MEST- 980MM  F/M 8L;"126299 - AÇO CHATO LAM 5/16 X 2"" SAE-5160";980,00;50,80;2;S Forjaria;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Prensas;Peças Para Carretas;440450;LAMINA CONT MEST 890-F/M 8L;"126299 - AÇO CHATO LAM 5/16 X 2"" SAE-5160";890,00;50,80;2;S Forjaria;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Prensas;Peças Para Carretas;440462;LAMINA N 3 - 840MM  F/M   CAR;"126299 - AÇO CHATO LAM 5/16 X 2"" SAE-5160";840,00;50,80;2;S Forjaria;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Prensas;Peças Para Carretas;460849;LAMINA N4-695MM FM 14 LAM   CBH/FA;"126299 - AÇO CHATO LAM 5/16 X 2"" SAE-5160";695,00;50,80;2;S Forjaria;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Prensas;Peças Para Carretas;460850;LAMINA N5-640MM FM 14 LAM   CBH/FA;"126299 - AÇO CHATO LAM 5/16 X 2"" SAE-5160";640,00;50,80;2;S Forjaria;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Prensas;Peças Para Carretas;460862;LAMINA N6-585MM FM 14 LAM   CBH/FA;"126299 - AÇO CHATO LAM 5/16 X 2"" SAE-5160";585,00;50,80;2;S Forjaria;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Prensas;Peças Para Carretas;460874;LAMINA N7-530MM FM 14 LAM   CBH/FA;"126299 - AÇO CHATO LAM 5/16 X 2"" SAE-5160";530,00;50,80;2;S Forjaria;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Prensas;Peças Para Carretas;460886;LAMINA N8-507MM FM 14 LAM   CBH/FA;"126299 - AÇO CHATO LAM 5/16 X 2"" SAE-5160";507,00;50,80;2;S Forjaria;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Prensas;Peças Para Carretas;460898;LAMINA N9-420MM FM 14 LAM   CBH/FA;"126299 - AÇO CHATO LAM 5/16 X 2"" SAE-5160";420,00;50,80;2;S Forjaria;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Prensas;Peças Para Carretas;460904;LAMINA N10-365MM FM 14 LAM   CBH/FA;"126299 - AÇO CHATO LAM 5/16 X 2"" SAE-5160";365,00;50,80;2;S Forjaria;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Prensas;Peças Para Carretas;460916;LAMINA N11-310MM FM 14 LAM   CBH/FA;"126299 - AÇO CHATO LAM 5/16 X 2"" SAE-5160";310,00;50,80;2;S Forjaria;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Prensas;Peças Para Carretas;460928;LAMINA N12-255MM FM 14 LAM   CBH/FA;"126299 - AÇO CHATO LAM 5/16 X 2"" SAE-5160";255,00;50,80;2;S Forjaria;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Prensas;Peças Para Carretas;460930;LAMINA N13-200MM FM 14 LAM   CBH/FA;"126299 - AÇO CHATO LAM 5/16 X 2"" SAE-5160";200,00;50,80;2;S Forjaria;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Prensas;Peças Para Carretas;460941;LAMINA N14-145MM FM 14 LAM   CBH/FA;"126299 - AÇO CHATO LAM 5/16 X 2"" SAE-5160";145,00;50,80;2;S Forjaria;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS C.Serras;Peças Para Carretas;34946;BUCHA DO PISTÃO [PISTÃO DO CILINDRO - CBH/CBHM];110012 - ACO LAMINADO RED 2.1/2    1045;60,00;;1;S Usinagem;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS C.Serras;Peças Para Carretas;34881;CABEÇA DO PISTÃO [CBHM5000/6000];110139 - ACO LAMINADO RED 4          1045;45,00;;1;S Usinagem;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS C.Serras;Peças Para Carretas;468897;FECHAM CILINDRO           CBHM;110735 - ACO LAMINADO RED 4.1/2    1020;18,00;;1;S Estamparia;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS C.Serras;Peças Para Carretas;28764;ESPAÇADOR TAMPA TRASEIRA  CBH/CBHM;"126615 - AÇO CHATO LAM 3/4 X 2"" SAE-1020";50,80;42,00;2;S C Plasma;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS C.Serras;Peças Para Carretas;496923;TUBO DA CAMISA DO CILINDRO [CILINDRO HIDRAULICO - CBH/CBHM];"134387 - TUBO SCHEDULLE 40 - 3/8"" S/C  5 METROS";300,00;17,20;1;S Estamparia;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS C.Serras;Peças Para Carretas;34945;TUBO DA CONEXÃO MENOR [CAMISA DO CILINDRO - CBH/CBHM];"134387 - TUBO SCHEDULLE 40 - 3/8"" S/C  5 METROS";35,00;;1;S Mont Sistemas Carretas;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS C.Plasma;Peças Para Carretas;415017;ABRACAD P/FEIXE MOLAS-ROD U6;120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010;240,00;22,00;4;S Estamparia;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS C.Plasma;Peças Para Carretas;496935;ORELHA DO CILINDRO [CAMISA DO CILINDRO - CBH/CBHM];"120376 - CHAPA GQ 1"" (25,4) 1010/1020";90,00;87,00;1;S Usinagem;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Estamparia;Peças Para Carretas;468897;FECHAM CILINDRO           CBHM;;;;1;S Usinagem;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
